"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","GEMEINDE_QID","GEMEINDE_GeoNames","GEMEINDE_TGN","GEMEINDE_IDAI","GEMEINDE_OSM_Relation","GEMEINDE_matchLabel","GEMEINDE_matchScore","GEMEINDE_matchReason","kreis","KREIS_QID","KREIS_GeoNames","KREIS_TGN","KREIS_IDAI","KREIS_OSM_Relation","KREIS_matchLabel","KREIS_matchScore","KREIS_matchReason","bundesland","BUNDESLAND_QID","BUNDESLAND_GeoNames","BUNDESLAND_TGN","BUNDESLAND_IDAI","BUNDESLAND_OSM_Relation","BUNDESLAND_matchLabel","BUNDESLAND_matchScore","BUNDESLAND_matchReason","land","LAND_QID","LAND_GeoNames","LAND_TGN","LAND_IDAI","LAND_OSM_Relation","LAND_matchLabel","LAND_matchScore","LAND_matchReason","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y","dating_start","dating_certainty_start","dating_end","dating_certainty_end","dating_method","dating_certainty_range","dating_perio.do","dating_perio.do_match","sherd"
"BLDAM / M. Ismail-Weber 2018","Q897952","11001","110","Elsterwerda - 28","Elsterwerda","Q584473","6550599","","","1303791","Elsterwerda","1.0","Exact match via rdfs:label [global index] | 'Elsterwerda' -> 'Elsterwerda'","Elbe-Elster","Q6152","","","","","Elbe-Elster","1.0","Direct override | 'Elbe-Elster' -> QID=Q6152 | [override -> QID=Q6152]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","328","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.54","51.47","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","29813","84","Buchhain - 7","Buchhain","Q998407","","7207423","","","Buchhain","1.0","Transitive P131+ exact match | 'Buchhain' -> 'Buchhain'","Elbe-Elster","Q6152","","","","","Elbe-Elster","1.0","Direct override | 'Elbe-Elster' -> QID=Q6152 | [override -> QID=Q6152]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","329","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.39","51.66","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12579","183","Hertefeld - 1","Hertefeld","Q113182090","","","","","Hertefeld","1.0","Transitive P131+ exact match | 'Hertefeld' -> 'Hertefeld'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","332","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.87","52.65","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12890","451","Vietznitz - 4","Vietznitz","Q2523873","","7092275","","","Vietznitz","1.0","Transitive P131+ exact match | 'Vietznitz' -> 'Vietznitz'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","333","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.66","52.74","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12853","396","Schönwalde - 30","Schönwalde","Q581715","","","","","Schönwalde","1.0","Direct override | 'Schönwalde' -> QID=Q581715 | [override -> QID=Q581715]","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","334","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.1","52.6","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12920","455","Wagenitz - 6","Wagenitz","Q1989221","","","","","Wagenitz","1.0","Transitive P131+ exact match | 'Wagenitz' -> 'Wagenitz'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","336","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.64","52.65","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","19409","127","Friedrichsbruch - 3","Friedrichsbruch","Q88181595","","","","","Friedrichsbruch","1.0","Transitive P131+ exact match | 'Friedrichsbruch' -> 'Friedrichsbruch'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","337","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.39","52.8","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","19784","364","Rathenow - 20","Rathenow","Q525425","6550611","","","1271899","Rathenow","1.0","Exact match via rdfs:label [global index] | 'Rathenow' -> 'Rathenow'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","338","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.34","52.6","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","19863","365","Rathenow-Neue Schleuse - 9","Rathenow-Neue Schleuse","Q525425","","","","","Rathenow-Neue Schleuse","1.0","Direct override | 'Rathenow-Neue Schleuse' -> QID=Q525425 | [override -> QID=Q525425]","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","339","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.31","52.61","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","20003","425","Strodehne - 1","Strodehne","Q51682527","","","","","Strodehne","1.0","Transitive P131+ exact match | 'Strodehne' -> 'Strodehne'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","340","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.23","52.74","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12832","397","Schönwalde - 9","Schönwalde","Q581715","","","","","Schönwalde","1.0","Direct override | 'Schönwalde' -> QID=Q581715 | [override -> QID=Q581715]","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","341","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.13","52.61","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","24720","85","Buckow - 4","Buckow","Q29019815","","","","","Buckow","1.0","Direct override | 'Buckow' -> QID=Q29019815 | [override -> QID=Q29019815]","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","342","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.27","52.59","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12929","459","Wansdorf - 7","Wansdorf","Q2548510","","","","","Wansdorf","1.0","Transitive P131+ exact match | 'Wansdorf' -> 'Wansdorf'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","343","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.07","52.63","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","20021","426","Strodehne - 19","Strodehne","Q51682527","","","","","Strodehne","1.0","Transitive P131+ exact match | 'Strodehne' -> 'Strodehne'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","344","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.24","52.74","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","19895","378","Rübehorst - 1","Rübehorst","Q110987406","","","","","Rübehorst","1.0","Transitive P131+ exact match | 'Rübehorst' -> 'Rübehorst'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","345","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.33","52.8","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12897","450","Vietznitz - 11","Vietznitz","Q2523873","","7092275","","","Vietznitz","1.0","Transitive P131+ exact match | 'Vietznitz' -> 'Vietznitz'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","346","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.63","52.74","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12954","481","Wustermark - 2","Wustermark","Q581938","6547603","1038031","","1240551","Wustermark","1.0","Exact match via rdfs:label [global index] | 'Wustermark' -> 'Wustermark'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","347","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.95","52.54","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12585","194","Hoppenrade - 2","Hoppenrade","Q104757864","2899161","1036975","","","Hoppenrade","1.0","Transitive P131+ exact match | 'Hoppenrade' -> 'Hoppenrade'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","348","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.94","52.52","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","59396","369","Rhinow - 32","Rhinow","Q532037","6550612","","","1332714","Rhinow","1.0","Exact match via rdfs:label [global index] | 'Rhinow' -> 'Rhinow'","Havelland","Q6139","","","","","Havelland","1.0","Direct override | 'Havelland' -> QID=Q6139 | [override -> QID=Q6139]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","349","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.36","52.77","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","21600","297","Münchehofe - 3","Münchehofe","Q2781495","","","","","Münchehofe","1.0","Transitive P131+ exact match | 'Münchehofe' -> 'Münchehofe'","Märkisch-Oderland","Q6181","3249083","7076941","","318248","Märkisch-Oderland","1.0","Exact match via skos:altLabel [global index] | 'Märkisch-Oderland' -> 'Märkisch-Oderland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","350","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","14.12","52.56","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","34683","126","Friedersdorf - 6","Friedersdorf","Q1457140","","","","","Friedersdorf","1.0","Transitive P131+ exact match | 'Friedersdorf' -> 'Friedersdorf'","Märkisch-Oderland","Q6181","3249083","7076941","","318248","Märkisch-Oderland","1.0","Exact match via skos:altLabel [global index] | 'Märkisch-Oderland' -> 'Märkisch-Oderland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","351","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","14.39","52.51","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","7659","244","Krewelin - 2","Krewelin","Q87325014","","","","","Krewelin","1.0","Transitive P131+ exact match | 'Krewelin' -> 'Krewelin'","Oberhavel","Q6119","3249084","7076940","","62488","Oberhavel","1.0","Exact match via skos:altLabel [global index] | 'Oberhavel' -> 'Oberhavel'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","352","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.41","52.95","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","7547","21","Badingen - 4","Badingen","Q799036","","","","","Badingen","1.0","Transitive P131+ exact match | 'Badingen' -> 'Badingen'","Oberhavel","Q6119","3249084","7076940","","62488","Oberhavel","1.0","Exact match via skos:altLabel [global index] | 'Oberhavel' -> 'Oberhavel'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","353","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.25","53.02","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","7770","497","Zehdenick - 3","Zehdenick","Q184481","6550625","1038049","","1316017","Zehdenick","1.0","Exact match via rdfs:label [global index] | 'Zehdenick' -> 'Zehdenick'","Oberhavel","Q6119","3249084","7076940","","62488","Oberhavel","1.0","Exact match via skos:altLabel [global index] | 'Oberhavel' -> 'Oberhavel'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","354","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.32","52.95","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","14928","414","Sommerfeld - 7","Sommerfeld","Q14947358","2831399","","","4473474","Sommerfeld","1.0","Transitive P131+ exact match | 'Sommerfeld' -> 'Sommerfeld'","Oberhavel","Q6119","3249084","7076940","","62488","Oberhavel","1.0","Exact match via skos:altLabel [global index] | 'Oberhavel' -> 'Oberhavel'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","355","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.05","52.79","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
