"level","input_value","QID","GeoNames","matchLabel","matchScore","matchReason","TGN","IDAI","OSM_Relation"
"GEMEINDE","Gmina Nowogródek Pomorski","Q557815","7532115","Gmina Nowogródek Pomorski","1.0","Exact match via rdfs:label [global index] | 'Gmina Nowogródek Pomorski' -> 'Gmina Nowogródek Pomorski'","","","2896953"
"GEMEINDE","Gmina Dobra","Q557090","7532918","Gmina Dobra","1.0","Exact match via rdfs:label [global index] | 'Gmina Dobra' -> 'Gmina Dobra'","","","342936"
"GEMEINDE","Gmina Kołbaskowo","Q557824","7532384","Gmina Kołbaskowo","1.0","Exact match via rdfs:label [global index] | 'Gmina Kołbaskowo' -> 'Gmina Kołbaskowo'","","","343261"
"GEMEINDE","Gmina Gąsawa","Q1941675","7532127","Gmina Gąsawa","1.0","Exact match via rdfs:label [global index] | 'Gmina Gąsawa' -> 'Gmina Gąsawa'","","","1392168"
"GEMEINDE","Gmina Żnin","Q2204247","7533226","Gmina Żnin","1.0","Exact match via rdfs:label [global index] | 'Gmina Żnin' -> 'Gmina Żnin'","","","1359774"
"GEMEINDE","Gmina Kcynia","Q2461196","7533422","gmina Kcynia","1.0","Exact match via skos:altLabel [global index] | 'Gmina Kcynia' -> 'gmina Kcynia'","","","2634358"
"GEMEINDE","Gmina Dąbrowa","Q2461528","7532547","Gmina Dąbrowa","1.0","Exact match via rdfs:label [global index] | 'Gmina Dąbrowa' -> 'Gmina Dąbrowa'","","","1385335"
"GEMEINDE","Gmina Mogilno","Q2182076","7533235","Gmina Mogilno","1.0","Exact match via rdfs:label [global index] | 'Gmina Mogilno' -> 'Gmina Mogilno'","","","2635528"
"GEMEINDE","Gmina Strzelno","Q2347468","7533548","Gmina Strzelno","1.0","Exact match via rdfs:label [global index] | 'Gmina Strzelno' -> 'Gmina Strzelno'","","","2635538"
"GEMEINDE","Gmin Strzelno","Q2347468","7533548","Gmina Strzelno","1.0","Exact match via rdfs:label [global index] | 'Gmina Strzelno' -> 'Gmina Strzelno'","","","2635538"
"GEMEINDE","Niedere Börde","Q554720","6559284","Niedere Börde","1.0","Exact match via rdfs:label [global index] | 'Niedere Börde' -> 'Niedere Börde'","","","1286651"
"GEMEINDE","Barleben","Q550241","7602488","Barleben","1.0","Exact match via rdfs:label [global index] | 'Barleben' -> 'Barleben'","1036415","","79776"
"GEMEINDE","Gommern","Q50880","6550932","Gommern","1.0","Exact match via rdfs:label [global index] | 'Gommern' -> 'Gommern'","","","85214"
"GEMEINDE","Köthen","Q1796771","6551219","Köthen","1.0","Exact match via rdfs:label [global index] | 'Köthen' -> 'Köthen'","","","2090553"
"GEMEINDE","Zörbig","Q247868","6550887","Zörbig","1.0","Exact match via rdfs:label [global index] | 'Zörbig' -> 'Zörbig'","","","1329608"
"GEMEINDE","Prettin","Q573500","2852168","Prettin","1.0","Transitive P131+ exact match | 'Prettin' -> 'Prettin'","1037514","",""
"GEMEINDE","Seeland","Q50856","7602667","Seeland","1.0","Exact match via rdfs:label [global index] | 'Seeland' -> 'Seeland'","","","390044"
"GEMEINDE","Staßfurt","Q525409","6551145","Staßfurt","1.0","Exact match via rdfs:label [global index] | 'Staßfurt' -> 'Staßfurt'","1037771","","82601"
"GEMEINDE","Bernburg","Q14938","6551215","Bernburg","1.0","Exact match via rdfs:label [global index] | 'Bernburg' -> 'Bernburg'","1036449","","124297"
"GEMEINDE","Calbe","Q505176","6551243","Calbe","1.0","Exact match via rdfs:label [global index] | 'Calbe' -> 'Calbe'","","","69745"
"GEMEINDE","Halberstadt","Q7072","6550926","Halberstadt","1.0","Exact match via rdfs:label [global index] | 'Halberstadt' -> 'Halberstadt'","7012317","","1352956"
"GEMEINDE","Quedlinburg","Q40623","6551148","Quedlinburg","1.0","Exact match via rdfs:label [global index] | 'Quedlinburg' -> 'Quedlinburg'","","","153832"
"GEMEINDE","Schkopau","Q526388","6551142","Schkopau","1.0","Exact match via rdfs:label [global index] | 'Schkopau' -> 'Schkopau'","","","2406261"
"GEMEINDE","Hohenfinow","Q587133","6547549","Hohenfinow","1.0","Exact match via rdfs:label [global index] | 'Hohenfinow' -> 'Hohenfinow'","","2323324","1318355"
"GEMEINDE","Eichhorst","Q1243275","","Eichhorst","1.0","Transitive P131+ exact match | 'Eichhorst' -> 'Eichhorst'","","","2720275"
"GEMEINDE","Zehdenick","Q184481","6550625","Zehdenick","1.0","Exact match via rdfs:label [global index] | 'Zehdenick' -> 'Zehdenick'","1038049","","1316017"
"GEMEINDE","Birkenwerder","Q587077","6547617","Birkenwerder","1.0","Exact match via rdfs:label [global index] | 'Birkenwerder' -> 'Birkenwerder'","","","1310088"
"GEMEINDE","Oranienburg","Q14808","6550623","Oranienburg","1.0","Exact match via rdfs:label [global index] | 'Oranienburg' -> 'Oranienburg'","1037432","2282604","1310102"
"GEMEINDE","Flatow","Q47446677","2926363","Flatow","1.0","Transitive P131+ exact match | 'Flatow' -> 'Flatow'","","","4473530"
"GEMEINDE","Krewelin","Q87325014","","Krewelin","1.0","Transitive P131+ exact match | 'Krewelin' -> 'Krewelin'","","",""
"GEMEINDE","Badingen","Q799036","","Badingen","1.0","Transitive P131+ exact match | 'Badingen' -> 'Badingen'","","",""
"GEMEINDE","Sommerfeld","Q14947358","2831399","Sommerfeld","1.0","Transitive P131+ exact match | 'Sommerfeld' -> 'Sommerfeld'","","","4473474"
"GEMEINDE","Teschendorf","Q21039506","","Teschendorf","1.0","Transitive P131+ exact match | 'Teschendorf' -> 'Teschendorf'","","",""
"GEMEINDE","Burgwall","Q1016140","","Burgwall","1.0","Transitive P131+ exact match | 'Burgwall' -> 'Burgwall'","","",""
