"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","kreis","KREIS_QID","KREIS_GeoNames","KREIS_TGN","KREIS_IDAI","KREIS_OSM_Relation","KREIS_matchLabel","KREIS_matchScore","KREIS_matchReason","bundesland","BUNDESLAND_QID","BUNDESLAND_GeoNames","BUNDESLAND_TGN","BUNDESLAND_IDAI","BUNDESLAND_OSM_Relation","BUNDESLAND_matchLabel","BUNDESLAND_matchScore","BUNDESLAND_matchReason","land","LAND_QID","LAND_GeoNames","LAND_TGN","LAND_IDAI","LAND_OSM_Relation","LAND_matchLabel","LAND_matchScore","LAND_matchReason","perio.do","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y"
"Kaufmann 1976","","449","456","Wahlitz 7","Gommern","Jerichower Land","Q6068","3302158","7076457","","62477","Jerichower Land","1.0","Exact match via skos:altLabel [global index] | 'Jerichower Land' -> 'Jerichower Land'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","100","21","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.79","52.11"
"LfDA Sachsen-Anhalt","Q1802049","415","161","Gröbitz 10","Teuchern","Burgenlandkreis","Q14920405","3302156","","","62639","Burgenlandkreis","1.0","Exact match via rdfs:label [global index] | 'Burgenlandkreis' -> 'Burgenlandkreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","0","22","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.92","51.13"
"Kaufmann 1976","","395","245","Krosigk 1","Petersburg","Saalekreis","Q6098","2842671","","","62473","Saalekreis","1.0","Exact match via rdfs:label [global index] | 'Saalekreis' -> 'Saalekreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","100","23","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.93","51.61"
"LfDA Sachsen-Anhalt","Q1802049","294","233","Korbetha 4","Schkopau","Saalekreis","Q6098","2842671","","","62473","Saalekreis","1.0","Exact match via rdfs:label [global index] | 'Saalekreis' -> 'Saalekreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","50","24","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.97","51.4"
"LfDA Sachsen-Anhalt","Q1802049","250","384","Schelkau 3","Teuchern","Burgenlandkreis","Q14920405","3302156","","","62639","Burgenlandkreis","1.0","Exact match via rdfs:label [global index] | 'Burgenlandkreis' -> 'Burgenlandkreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","0","25","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","12.01","51.1"
"LfDA Sachsen-Anhalt","Q1802049","266","281","Merzien 8","Köthen","Anhalt-Bitterfeld","Q6071","","","","","Landkreis Anhalt-Bitterfeld","1.0","Direct override | 'Anhalt-Bitterfeld' -> QID=Q6071 | [override -> QID=Q6071]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","0","26","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","12.03","51.75"
"LfDA Sachsen-Anhalt","Q1802049","312","457","Wallendorf 14","Schkopau","Saalekreis","Q6098","2842671","","","62473","Saalekreis","1.0","Exact match via rdfs:label [global index] | 'Saalekreis' -> 'Saalekreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","50","27","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","12.07","51.36"
"LfDA Sachsen-Anhalt","Q1802049","432","158","Grana 2","Kretzschau","Burgenlandkreis","Q14920405","3302156","","","62639","Burgenlandkreis","1.0","Exact match via rdfs:label [global index] | 'Burgenlandkreis' -> 'Burgenlandkreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","400","28","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","12.11","51.05"
"Kaufmann 1976","","206","505","Zörbig 8","Zörbig","Anhalt-Bitterfeld","Q6071","","","","","Landkreis Anhalt-Bitterfeld","1.0","Direct override | 'Anhalt-Bitterfeld' -> QID=Q6071 | [override -> QID=Q6071]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","50","29","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","12.11","51.63"
"Kaufmann 1976","","117","438","Trebnitz","Gera","Gera","Q706112","2921231","7012815","","62671","Gera","1.0","Exact match via rdfs:label [global index] | 'Gera' -> 'Gera'","Thüringen","Q1205","2822542","7003689","2052949","62366","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","100","30","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","12.14","50.9"
