"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","kreis","KREIS_QID","KREIS_GeoNames","KREIS_TGN","KREIS_IDAI","KREIS_OSM_Relation","KREIS_matchLabel","KREIS_matchScore","KREIS_matchReason","bundesland","BUNDESLAND_QID","BUNDESLAND_GeoNames","BUNDESLAND_TGN","BUNDESLAND_IDAI","BUNDESLAND_OSM_Relation","BUNDESLAND_matchLabel","BUNDESLAND_matchScore","BUNDESLAND_matchReason","land","LAND_QID","LAND_GeoNames","LAND_TGN","LAND_IDAI","LAND_OSM_Relation","LAND_matchLabel","LAND_matchScore","LAND_matchReason","perio.do","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y"
"Ciesielski/Goczyca 2013","","","286","Międzyrzecz 11","Gmina Międzyrzecz","pow. Międzyrzecki","Q317917","7530979","","","2663893","powiat międzyrzecki","1.0","Exact match via rdfs:label [global index] | 'Powiat Międzyrzecki' -> 'powiat międzyrzecki'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Ausgrabung","Q959782","Ciesielski/Goczyca 2013","","Siedlung","Q486972","50","246","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von Ciesielski/Gozycza 2013","15.56","52.45"
"Zabytek.pl","","","346","Poznań - Dębiec 1","Gmina Poznań","pow. Poznanski","Q101575","7530994","","","2406440","powiat poznański","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Poznanski' -> 'powiat poznański'","Woj. Wielkopolskie","Q54187","3337498","7024119","","130971","wielkopolskie","1.0","Exact match via skos:altLabel [global index] | 'Wielkopolskie' -> 'wielkopolskie' | [normalised: stripped -> 'Wielkopolskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Ausgrabung","Q959782","Smoczyńska 1952","","unbek.","Q59496158","200","247","Übernahme aus externer Datenbank","digitale Datenbank","Fundstellen wurden in der digitalen Datenbank Zabytek gesucht und Koordinaten ausgelesen","16.92","52.38"
"Zabytek.pl","","","347","Poznań - Dębiec 2","Gmina Poznań","pow. Poznanski","Q101575","7530994","","","2406440","powiat poznański","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Poznanski' -> 'powiat poznański'","Woj. Wielkopolskie","Q54187","3337498","7024119","","130971","wielkopolskie","1.0","Exact match via skos:altLabel [global index] | 'Wielkopolskie' -> 'wielkopolskie' | [normalised: stripped -> 'Wielkopolskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Ausgrabung","Q959782","Smoczyńska 1952","","Siedlung","Q486972","200","248","Übernahme aus externer Datenbank","digitale Datenbank","Fundstellen wurden in der digitalen Datenbank Zabytek gesucht und Koordinaten ausgelesen","16.92","52.37"
"Zabytek.pl","","","405","Sędowo 1","Gmina Dąbrowa","pow. Mogileński","Q604053","7530912","","","1385334","Powiat Mogileński","1.0","Exact match via rdfs:label [global index] | 'Powiat Mogileński' -> 'Powiat Mogileński'","Woj. Kujawsko-Pomorskie","Q54153","3337500","","","223407","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Ausgrabung","Q959782","Smoczyńska 1952","","Grab","Q173387","200","249","Übernahme aus externer Datenbank","digitale Datenbank","Fundstellen wurden in der digitalen Datenbank Zabytek gesucht und Koordinaten ausgelesen","17.98","52.74"
"Denkmaldaten / BLDAM 2021","Q897952","13034","14","Altfriesack 6","Altfriesack","Ostprignitz-Ruppin","Q6125","3249087","7076937","","62574","Ostprignitz-Ruppin","1.0","Exact match via skos:altLabel [global index] | 'Ostprignitz-Ruppin' -> 'Ostprignitz-Ruppin'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","250","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.88","52.84"
"Denkmaldaten / BLDAM 2021","Q897952","1011","15","Altranft 6","Altranft","Märkisch-Oderland","Q6181","3249083","7076941","","318248","Märkisch-Oderland","1.0","Exact match via skos:altLabel [global index] | 'Märkisch-Oderland' -> 'Märkisch-Oderland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","251","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.09","52.77"
"Denkmaldaten / BLDAM 2021","Q897952","1032","20","Bad Freienwalde 8","Bad Freienwalde","Märkisch-Oderland","Q6181","3249083","7076941","","318248","Märkisch-Oderland","1.0","Exact match via skos:altLabel [global index] | 'Märkisch-Oderland' -> 'Märkisch-Oderland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","252","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.06","52.78"
"Denkmaldaten / BLDAM 2021","Q897952","1126","28","Beeskow 5","Beeskow","Oder-Spree","Q6178","3249086","7076938","","62628","Oder-Spree","1.0","Exact match via skos:altLabel [global index] | 'Oder-Spree' -> 'Oder-Spree'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","253","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.3","52.17"
"Denkmaldaten / BLDAM 2021","Q897952","16349","47","Blankenburg 26","Blankenburg","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","254","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.94","53.22"
"Denkmaldaten / BLDAM 2021","Q897952","16004","63","Bornim 8","Bornim","Potsdam","Q1711","7602560","7004463","","62369","Potsdam","1.0","Exact match via rdfs:label [global index] | 'Potsdam' -> 'Potsdam'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","255","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.01","52.42"
"Denkmaldaten / BLDAM 2021","Q897952","16446","76","Brüssow 67","Brüssow","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","256","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.11","53.42"
"Denkmaldaten / BLDAM 2021","Q897952","12418","107","Dyrotz 37","Dyrotz","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Ausgrabung","Q959782","","","Siedlung, Brunnen","Q486972","0","257","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.96","52.56"
"Denkmaldaten / BLDAM 2021","Q897952","53473","120","Flemsdorf 10","Flemsdorf","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Sondage","Q959782","","","Siedlung","Q486972","0","258","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.16","53.03"
"Denkmaldaten / BLDAM 2021","Q897952","6357","122","Frankfurt 108","Frankfurt","Frankfurt (Oder)","Q4024","2925535","7005972","","62523","Frankfurt (Oder)","1.0","Exact match via rdfs:label [global index] | 'Frankfurt (Oder)' -> 'Frankfurt (Oder)'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","259","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.52","52.33"
"Denkmaldaten / BLDAM 2021","Q897952","12485","129","Friesack 4","Friesack","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Ausgrabung, Schichtenbefunde","Q959782","","","Siedlung","Q486972","0","260","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.54","52.75"
"Denkmaldaten / BLDAM 2021","Q897952","63130","214","Kirchmöser 34","Kirchmöser","Brandenburg (Havel)","Q3931","","","","","Brandenburg an der Havel","1.0","Direct override | 'Brandenburg (Havel)' -> QID=Q3931 | [override -> QID=Q3931]","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Ausgrabung","Q959782","","","Siedlung","Q486972","0","261","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.43","52.38"
"Denkmaldaten / BLDAM 2021","Q897952","1244","237","Kossenblatt 3","Kossenblatt","Oder-Spree","Q6178","3249086","7076938","","62628","Oder-Spree","1.0","Exact match via skos:altLabel [global index] | 'Oder-Spree' -> 'Oder-Spree'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","262","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.09","52.13"
"Denkmaldaten / BLDAM 2021","Q897952","12669","298","Nauen 21","Nauen","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","263","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.88","52.62"
"Denkmaldaten / BLDAM 2021","Q897952","693","309","Niederlandin 12/5 (13)","Niederlandin","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","264","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.14","53.08"
"Denkmaldaten / BLDAM 2021","Q897952","43876","340","Potsdam 3/13 (3)","Potsdam","Potsdam","Q1711","7602560","7004463","","62369","Potsdam","1.0","Exact match via rdfs:label [global index] | 'Potsdam' -> 'Potsdam'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Ausgrabung, Schichtenbefunde","Q959782","","","Siedlung","Q486972","0","265","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.05","52.4"
"Denkmaldaten / BLDAM 2021","Q897952","16099","343","Potsdam 58","Potsdam","Potsdam","Q1711","7602560","7004463","","62369","Potsdam","1.0","Exact match via rdfs:label [global index] | 'Potsdam' -> 'Potsdam'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","266","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.09","52.36"
"Denkmaldaten / BLDAM 2021","Q897952","17574","350","Prenzlau 23","Prenzlau","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","267","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.87","53.3"
"Denkmaldaten / BLDAM 2021","Q897952","12811","371","Ribbeck 4","Ribbeck","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","268","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.75","52.63"
"Denkmaldaten / BLDAM 2021","Q897952","58581","372","Ribbeck 9/21 (9)","Ribbeck","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","269","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.75","52.63"
"Denkmaldaten / BLDAM 2021","Q897952","9787","442","Treuenbrietzen 39","Treuenbrietzen","Potsdam-Mittelmark","Q6142","2852456","7120830","","62353","Potsdam-Mittelmark","1.0","Exact match via skos:altLabel [global index] | 'Potsdam-Mittelmark' -> 'Potsdam-Mittelmark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","270","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.88","52.1"
"Denkmaldaten / BLDAM 2021","Q897952","36409","452","Wachow 17/4 (17)","Wachow","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","271","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.76","52.53"
"Denkmaldaten / BLDAM 2021","Q897952","12906","453","Wachow 5","Wachow","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","272","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.76","52.54"
"Denkmaldaten / BLDAM 2021","Q897952","12908","454","Wachow 7","Wachow","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","273","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.72","52.53"
"Denkmaldaten / BLDAM 2021","Q897952","25334","462","Wernsdorf 6","Wernsdorf","Dahme-Spreewald","Q6173","3249080","7076944","","62376","Dahme-Spreewald","1.0","Exact match via skos:altLabel [global index] | 'Dahme-Spreewald' -> 'Dahme-Spreewald'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","274","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.69","52.37"
"Denkmaldaten / BLDAM 2021","Q897952","12961","483","Wustermark 9","Wustermark","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","Siedlung","Q486972","0","275","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.95","52.56"
"Denkmaldaten / BLDAM 2021","Q897952","58851","494","Zeestow 14/8 (14)","Zeestow","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","276","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.96","52.57"
"Denkmaldaten / BLDAM 2021","Q897952","13013","495","Zeestow 8","Zeestow","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","277","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.96","52.58"
"Denkmaldaten / BLDAM 2021","Q897952","13013","495","Zeestow 8","Zeestow","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","FBG","Lesefunde","Q1144458","","","unbek.","Q59496158","0","278","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.96","52.58"
"Denkmaldaten / BLDAM 2021","Q897952","167","38","Biesenbrow 4","Biesenbrow","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","Einzelfund","Q1144458","","","unbek.","Q59496158","0","279","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.99","53.11"
"Denkmaldaten / BLDAM 2021","Q897952","16331","48","Blankenburg 8","Blankenburg","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","Einzelfund","Q1144458","","","unbek.","Q59496158","0","280","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.95","53.23"
"Denkmaldaten / BLDAM 2021","Q897952","12310","73","Bredow 2","Bredow","Havelland","Q6139","3249082","7076942","","62413","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","Lesefunde","Q1144458","","","unbek.","Q59496158","0","281","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.91","52.6"
