"FID catalogue Schmidt 2026"|"GEMEINDE"|"KREIS"|"BUNDESLAND"|"LAND"
155|"Gmina Sobótka"|"pow. Wrocławski"|"Woj. Dolnośląskie"|"Polen"
156|"Gmina Kąty Wrocławskie"|"pow. Wrocławski"|"Woj. Dolnośląskie"|"Polen"
157|"Gmina Jordanów Śląski"|"pow. Wrocławski"|"Woj. Dolnośląskie"|"Polen"
158|"Gmina Kobierzyce"|"pow. Wrocławski"|"Woj. Dolnośląskie"|"Polen"
159|"Gmina Jordanów Śląski"|"pow. Wrocławski"|"Woj. Dolnośląskie"|"Polen"
160|"Gmina Jordanów Śląski"|"pow. Wrocławski"|"Woj. Dolnośląskie"|"Polen"
161|"Gmina Wrocław"|"pow. Wrocławski"|"Woj. Dolnośląskie"|"Polen"
162|"Gmina Wrocław"|"pow. Wrocławski"|"Woj. Dolnośląskie"|"Polen"
163|"Gmina Wrocław"|"pow. Wrocławski"|"Woj. Dolnośląskie"|"Polen"
164|"Gmina Wrocław"|"pow. Wrocławski"|"Woj. Dolnośląskie"|"Polen"
165|"Gmina Paczków"|"pow. Nyski"|"Woj. Opolskie"|"Polen"
166|"Gmina Oława"|"pow. Oławski"|"Woj. Dolnośląskie"|"Polen"
167|"Gmina Oława"|"pow. Oławski"|"Woj. Dolnośląskie"|"Polen"
168|"Gmina Wiązów"|"pow. Strzeliński"|"Woj. Dolnośląskie"|"Polen"
169|"Gmina Kcynia"|"pow. Nakielski"|"Woj. Wielkopolskie"|"Polen"
170|"Gmina Branice"|"pow. Głubczycki"|"Woj. Opolskie"|"Polen"
171|"Gmina Głogówek"|"pow. Prudnicki"|"Woj. Opolskie"|"Polen"
172|"Gmina Słubca"|"pow. Słupecki"|"Woj. Małopolskie"|"Polen"
173|"Gmina Raciborz"|"pow. Raciborski"|"Woj. Śląskie"|"Polen"
174|"Gmina Bukowiec"|"pow. Świecki"|"Woj. Kujawsko-Pomorskie"|"Polen"
175|"Gmina Chełmża"|"pow. Toruński"|"Woj. Kujawsko-Pomorskie"|"Polen"
176|"Skórcz"|"pow. Starogardzki"|"Woj. Pomorskie"|"Polen"
177|"Pelplin"|"pow. Tczewski"|"Woj. Pomorskie"|"Polen"
178|"Pelplin"|"pow. Tczewski"|"Woj. Pomorskie"|"Polen"
179|"Gmina Chełmża"|"pow. Toruński"|"Woj. Kujawsko-Pomorskie"|"Polen"
180|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
181|"Gmina Zakrzewo"|"pow. Aleksandrowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
182|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
183|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
184|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
185|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
186|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
187|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
188|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
189|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
190|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
191|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
192|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
193|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
194|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
195|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
196|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
197|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
198|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
199|"Gmina Osięciny"|"pow. Radziejowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
200|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
201|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
202|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
